Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
67,12.8686,-8.0372,0.8482,12.8583,-3.6129,0.9628,12.6933,4.424,13.0
68,13.0947,-8.0354,0.8523,13.084,-3.5345,0.9654,12.9133,4.5007,14.0
69,14.7601,-8.0226,0.8786,14.752,-2.956,0.9805,14.5362,5.0663,15.0
70,13.0785,-8.0356,0.852,13.066,-3.5407,0.9653,12.8958,4.4946,14.0
71,12.8437,-8.0374,0.8477,12.8324,-3.6219,0.9625,12.6681,4.4152,13.0
72,12.0302,-8.0436,0.8313,12.0182,-3.9052,0.9511,11.8733,4.1382,13.0
73,12.9072,-8.0369,0.8489,12.8971,-3.5994,0.9632,12.7311,4.4372,13.0
74,12.0974,-8.0431,0.8327,12.0855,-3.8817,0.9522,11.939,4.1611,13.0
75,12.3766,-8.0409,0.8386,12.3657,-3.7842,0.9563,12.2126,4.2565,13.0
76,14.2597,-8.0265,0.8714,14.2513,-3.1294,0.9768,14.0497,4.8968,15.0
77,12.9466,-8.0366,0.8496,12.9344,-3.5864,0.9637,12.7675,4.4499,14.0
78,14.7235,-8.0229,0.8781,14.7154,-2.9687,0.9803,14.5006,5.0539,15.0
79,13.7844,-8.0301,0.8641,13.7729,-3.2953,0.9726,13.5843,4.7346,14.0
80,14.4016,-8.0254,0.8735,14.392,-3.0807,0.9779,14.1865,4.9445,15.0
81,12.0854,-8.0432,0.8325,12.0721,-3.8864,0.952,11.9259,4.1566,13.0
82,14.6047,-8.0238,0.8764,14.5972,-3.0096,0.9794,14.3858,5.0139,15.0
83,10.8663,-8.0526,0.8034,10.852,-4.3118,0.9295,10.7324,3.7406,11.0
84,12.9191,-8.0368,0.8491,12.91,-3.5949,0.9634,12.7437,4.4416,13.0
85,13.1648,-8.0349,0.8536,13.1542,-3.5101,0.9662,12.9817,4.5246,14.0
86,12.8359,-8.0374,0.8476,12.8246,-3.6246,0.9624,12.6604,4.4126,13.0
87,12.0582,-8.0434,0.8319,12.0463,-3.8954,0.9516,11.9007,4.1478,13.0
88,13.6161,-8.0314,0.8613,13.607,-3.3529,0.971,13.4228,4.6783,14.0
89,14.1038,-8.0277,0.8691,14.094,-3.184,0.9755,13.8967,4.8434,15.0
90,12.5723,-8.0394,0.8425,12.5598,-3.7167,0.959,12.4021,4.3225,13.0
91,11.3856,-8.0486,0.8166,11.3733,-4.1299,0.9401,11.2428,3.9185,12.0
92,12.0298,-8.0436,0.8313,12.0192,-3.9048,0.9511,11.8742,4.1386,13.0
93,11.2041,-8.05,0.8121,11.1921,-4.1931,0.9366,11.0655,3.8567,12.0
94,13.9846,-8.0286,0.8672,13.9769,-3.2246,0.9744,13.7828,4.8038,15.0
95,11.9631,-8.0441,0.8298,11.9501,-3.9289,0.9501,11.8067,4.115,13.0
96,12.3277,-8.0413,0.8376,12.3168,-3.8012,0.9556,12.1649,4.2399,13.0
97,11.9773,-8.044,0.8302,11.9657,-3.9234,0.9503,11.822,4.1204,13.0
98,12.522,-8.0398,0.8415,12.5114,-3.7335,0.9583,12.3548,4.3061,13.0
99,11.838,-8.0451,0.8271,11.8262,-3.972,0.9481,11.6856,4.0728,12.0
100,14.0753,-8.0279,0.8686,14.0671,-3.1933,0.9752,13.8706,4.8343,15.0
