Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
1,24.2062,5.4282,0.9758,24.1098,-5.9881,0.9707,23.3916,0.0005,23.0
2,24.3943,5.521,0.9753,24.2959,-5.9813,0.9712,23.5668,0.0005,24.0
3,24.9223,5.7815,0.9741,24.819,-5.9622,0.9726,24.0588,0.0005,24.0
4,22.6316,4.6512,0.9795,22.5526,-6.0428,0.9662,21.9221,0.0005,22.0
5,23.7906,5.2231,0.9767,23.6991,-6.0028,0.9696,23.0045,0.0005,23.0
6,24.4281,5.5377,0.9753,24.3316,-5.98,0.9713,23.6004,0.0005,24.0
7,24.0558,5.354,0.9761,23.9588,-5.9935,0.9703,23.2494,0.0005,23.0
8,24.0328,5.3426,0.9762,23.9378,-5.9943,0.9703,23.2296,0.0005,23.0
9,23.1471,4.9056,0.9783,23.0587,-6.0254,0.9678,22.4003,0.0005,22.0
10,23.0706,4.8678,0.9785,22.9869,-6.0279,0.9675,22.3325,0.0005,22.0
11,23.2007,4.932,0.9781,23.1165,-6.0233,0.9679,22.4549,0.0005,22.0
12,23.3575,5.0094,0.9778,23.2716,-6.0179,0.9684,22.6013,0.0005,23.0
13,22.527,4.5995,0.9798,22.446,-6.0465,0.9658,21.8213,0.0005,22.0
14,22.7397,4.7045,0.9793,22.6611,-6.0391,0.9665,22.0247,0.0005,22.0
15,22.7956,4.7321,0.9791,22.7157,-6.0372,0.9667,22.0763,0.0005,22.0
16,22.3979,4.5358,0.9801,22.3204,-6.0508,0.9654,21.7025,0.0005,22.0
17,22.1664,4.4215,0.9807,22.0921,-6.0585,0.9646,21.4865,0.0005,21.0
18,21.9523,4.3159,0.9812,21.8805,-6.0656,0.9639,21.2861,0.0005,21.0
19,22.3915,4.5326,0.9801,22.3178,-6.0509,0.9654,21.7001,0.0005,22.0
20,22.2352,4.4555,0.9805,22.1606,-6.0562,0.9649,21.5513,0.0005,22.0
21,22.1414,4.4092,0.9807,22.068,-6.0593,0.9645,21.4637,0.0005,21.0
22,21.6858,4.1844,0.9819,21.6157,-6.0744,0.9629,21.0353,0.0005,21.0
23,21.7984,4.2399,0.9816,21.7297,-6.0706,0.9633,21.1433,0.0005,21.0
24,21.748,4.215,0.9817,21.6791,-6.0723,0.9632,21.0953,0.0005,21.0
25,21.7477,4.2149,0.9817,21.6791,-6.0723,0.9632,21.0953,0.0005,21.0
26,20.4096,3.5545,0.9852,20.3541,-6.1154,0.9579,19.8376,0.0005,20.0
27,22.4115,4.5425,0.9801,22.3362,-6.0502,0.9654,21.7175,0.0005,22.0
28,20.3359,3.5181,0.9854,20.2809,-6.1177,0.9576,19.768,0.0005,20.0
29,21.215,3.952,0.9831,21.1558,-6.0896,0.9612,20.599,0.0005,21.0
30,21.0447,3.8679,0.9835,20.9825,-6.0952,0.9605,20.4346,0.0005,20.0
31,21.4256,4.0559,0.9825,21.362,-6.0828,0.962,20.7947,0.0005,21.0
32,20.8206,3.7573,0.9841,20.7588,-6.1024,0.9596,20.2222,0.0005,20.0
33,21.0283,3.8599,0.9836,20.968,-6.0957,0.9605,20.4208,0.0005,20.0
34,21.2613,3.9749,0.983,21.1988,-6.0882,0.9614,20.6399,0.0005,21.0
35,20.5163,3.6072,0.9849,20.457,-6.1121,0.9584,19.9354,0.0005,20.0
36,20.2207,3.4612,0.9857,20.1661,-6.1213,0.9571,19.6588,0.0005,20.0
37,20.1668,3.4346,0.9858,20.1138,-6.1229,0.9569,19.609,0.0005,20.0
38,20.3981,3.5488,0.9852,20.344,-6.1157,0.9579,19.828,0.0005,20.0
39,20.1536,3.4281,0.9858,20.0999,-6.1234,0.9568,19.5958,0.0005,20.0
40,20.386,3.5428,0.9852,20.332,-6.1161,0.9578,19.8166,0.0005,20.0
