Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
520,32.42,9.4891,0.9597,32.2177,-5.657,0.9851,30.9477,0.0006,31.0
521,33.1119,9.8307,0.9586,32.8989,-5.6257,0.9859,31.5753,0.0006,32.0
522,32.1981,9.3795,0.9601,31.9959,-5.6671,0.9849,30.7431,0.0006,31.0
523,33.2032,9.8758,0.9585,32.9843,-5.6217,0.986,31.6539,0.0006,32.0
524,30.8657,8.7216,0.9623,30.6852,-5.7255,0.9832,29.5316,0.0006,30.0
525,31.5694,9.0691,0.9611,31.3832,-5.6947,0.9841,30.1772,0.0006,30.0
526,32.2747,9.4173,0.96,32.0765,-5.6634,0.985,30.8175,0.0006,31.0
527,33.0008,9.7758,0.9588,32.7901,-5.6308,0.9858,31.4751,0.0006,31.0
528,32.84,9.6964,0.9591,32.6259,-5.6383,0.9856,31.3239,0.0006,31.0
529,31.2147,8.8939,0.9617,31.0288,-5.7104,0.9837,29.8496,0.0006,30.0
530,32.4332,9.4956,0.9597,32.2281,-5.6566,0.9851,30.9573,0.0006,31.0
531,32.5523,9.5544,0.9595,32.3453,-5.6512,0.9853,31.0653,0.0006,31.0
532,32.0798,9.3211,0.9603,31.8769,-5.6725,0.9847,30.6333,0.0006,31.0
533,32.5873,9.5717,0.9595,32.3824,-5.6495,0.9853,31.0995,0.0006,31.0
534,32.6409,9.5981,0.9594,32.4319,-5.6472,0.9854,31.1451,0.0006,31.0
535,32.5288,9.5428,0.9596,32.3205,-5.6523,0.9852,31.0425,0.0006,31.0
536,31.7545,9.1605,0.9608,31.5552,-5.687,0.9843,30.3362,0.0006,30.0
537,31.4816,9.0257,0.9613,31.2903,-5.6988,0.984,30.0914,0.0006,30.0
538,33.0581,9.8041,0.9587,32.8422,-5.6283,0.9858,31.5231,0.0006,32.0
539,32.2121,9.3864,0.9601,32.0044,-5.6667,0.9849,30.7509,0.0006,31.0
540,31.9822,9.2729,0.9604,31.7827,-5.6767,0.9846,30.5463,0.0006,31.0
541,32.5268,9.5418,0.9596,32.3231,-5.6522,0.9852,31.0449,0.0006,31.0
542,32.2774,9.4186,0.96,32.0726,-5.6636,0.985,30.8139,0.0006,31.0
543,32.6769,9.6159,0.9593,32.4696,-5.6455,0.9854,31.1799,0.0006,31.0
544,33.3985,9.9722,0.9582,33.1806,-5.6126,0.9862,31.8345,0.0006,32.0
545,32.6025,9.5792,0.9594,32.3882,-5.6492,0.9853,31.1049,0.0006,31.0
546,33.0328,9.7916,0.9588,32.8194,-5.6294,0.9858,31.5021,0.0006,32.0
547,32.1784,9.3697,0.9601,31.9712,-5.6682,0.9848,30.7203,0.0006,31.0
548,32.5308,9.5438,0.9596,32.3257,-5.6521,0.9852,31.0473,0.0006,31.0
549,33.4922,10.0185,0.9581,33.2681,-5.6085,0.9863,31.9149,0.0006,32.0
550,32.8468,9.6998,0.9591,32.6292,-5.6382,0.9856,31.3269,0.0006,31.0
551,31.9846,9.274,0.9604,31.7807,-5.6768,0.9846,30.5445,0.0006,31.0
552,31.8349,9.2001,0.9607,31.6384,-5.6832,0.9844,30.413,0.0006,30.0
553,34.4437,10.4883,0.9566,34.2029,-5.5643,0.9872,32.7735,0.0006,33.0
554,34.5552,10.5433,0.9565,34.3115,-5.559,0.9873,32.8731,0.0006,33.0
555,34.0176,10.2779,0.9573,33.7793,-5.5844,0.9868,32.3847,0.0006,32.0
556,34.6705,10.6003,0.9563,34.4286,-5.5534,0.9874,32.9805,0.0006,33.0
557,33.5453,10.0447,0.958,33.319,-5.6061,0.9863,31.9617,0.0006,32.0
558,33.3289,9.9378,0.9583,33.1056,-5.6161,0.9861,31.7655,0.0006,32.0
559,33.858,10.1991,0.9575,33.6304,-5.5915,0.9866,32.2479,0.0006,32.0
560,33.0094,9.7801,0.9588,32.7875,-5.6309,0.9858,31.4727,0.0006,31.0
561,34.1155,10.3262,0.9571,33.8799,-5.5797,0.9869,32.4771,0.0006,32.0
562,34.0897,10.3135,0.9572,33.8538,-5.5809,0.9869,32.4531,0.0006,32.0
563,34.6082,10.5695,0.9564,34.3665,-5.5564,0.9874,32.9235,0.0006,33.0
564,33.3421,9.9443,0.9583,33.1193,-5.6155,0.9861,31.7781,0.0006,32.0
565,34.1012,10.3192,0.9571,33.8708,-5.5801,0.9869,32.4687,0.0006,32.0
566,34.2655,10.4003,0.9569,34.0277,-5.5726,0.987,32.6127,0.0006,33.0
567,33.4043,9.975,0.9582,33.1806,-5.6126,0.9862,31.8345,0.0006,32.0
568,34.444,10.4884,0.9566,34.2023,-5.5643,0.9872,32.7729,0.0006,33.0
569,34.6678,10.5989,0.9563,34.4227,-5.5537,0.9874,32.9751,0.0006,33.0
570,34.2234,10.3795,0.957,33.9819,-5.5748,0.987,32.5707,0.0006,33.0
571,34.8032,10.6658,0.9561,34.5582,-5.5472,0.9875,33.0993,0.0006,33.0
572,34.0862,10.3118,0.9572,33.8453,-5.5813,0.9869,32.4453,0.0006,32.0
573,34.7187,10.6241,0.9562,34.4758,-5.5511,0.9875,33.0237,0.0006,33.0
574,35.1582,10.8411,0.9556,34.9054,-5.5303,0.9879,33.4173,0.0006,33.0
575,35.0031,10.7645,0.9558,34.7488,-5.5379,0.9877,33.2739,0.0006,33.0
576,34.6535,10.5918,0.9563,34.4044,-5.5546,0.9874,32.9583,0.0006,33.0
577,34.9482,10.7374,0.9559,34.6984,-5.5404,0.9877,33.2277,0.0006,33.0
578,34.5782,10.5547,0.9564,34.3305,-5.5581,0.9873,32.8905,0.0006,33.0
579,34.1097,10.3233,0.9571,33.8701,-5.5801,0.9869,32.4681,0.0006,32.0
580,34.1961,10.366,0.957,33.959,-5.5759,0.987,32.5497,0.0006,33.0
581,35.5493,11.0341,0.9551,35.2863,-5.5117,0.9882,33.766,0.0006,34.0
582,35.5768,11.0477,0.955,35.3126,-5.5104,0.9882,33.79,0.0006,34.0
583,35.4608,10.9904,0.9552,35.1978,-5.516,0.9881,33.6849,0.0006,34.0
584,36.131,11.3213,0.9543,35.8607,-5.4832,0.9887,34.291,0.0006,34.0
585,36.0306,11.2718,0.9544,35.7563,-5.4884,0.9886,34.1956,0.0006,34.0
586,34.8792,10.7033,0.956,34.6277,-5.5438,0.9876,33.1629,0.0006,33.0
587,36.049,11.2809,0.9544,35.776,-5.4875,0.9886,34.2136,0.0006,34.0
588,35.8026,11.1592,0.9547,35.5317,-5.4996,0.9884,33.9904,0.0006,34.0
589,35.2396,10.8812,0.9555,34.9775,-5.5268,0.9879,33.4833,0.0006,33.0
590,36.691,11.5979,0.9535,36.4051,-5.4559,0.9891,34.7878,0.0006,35.0
591,36.3824,11.4455,0.9539,36.0993,-5.4713,0.9889,34.5088,0.0006,35.0
592,37.4359,11.9656,0.9525,37.1341,-5.4188,0.9897,35.452,0.0006,35.0
593,36.6495,11.5774,0.9536,36.357,-5.4584,0.9891,34.744,0.0006,35.0
594,36.6771,11.591,0.9535,36.3906,-5.4567,0.9891,34.7746,0.0006,35.0
595,36.7939,11.6487,0.9534,36.5057,-5.4509,0.9892,34.8796,0.0006,35.0
596,36.6623,11.5837,0.9535,36.3748,-5.4575,0.9891,34.7602,0.0006,35.0
597,36.4181,11.4631,0.9539,36.1348,-5.4695,0.9889,34.5412,0.0006,35.0
598,36.9471,11.7243,0.9532,36.6591,-5.4431,0.9893,35.0194,0.0006,35.0
599,36.0632,11.2879,0.9543,35.7885,-5.4868,0.9886,34.225,0.0006,34.0
600,37.8512,12.1706,0.952,37.541,-5.3979,0.99,35.8222,0.0006,36.0
601,37.2559,11.8767,0.9528,36.9522,-5.4282,0.9896,35.2864,0.0006,35.0
602,36.9921,11.7465,0.9531,36.6966,-5.4412,0.9894,35.0536,0.0006,35.0
603,36.528,11.5174,0.9537,36.2406,-5.4642,0.989,34.6378,0.0006,35.0
604,37.5397,12.0169,0.9524,37.2356,-5.4136,0.9898,35.5444,0.0006,36.0
605,37.3294,11.913,0.9527,37.0273,-5.4243,0.9896,35.3548,0.0006,35.0
606,35.5849,11.0517,0.955,35.3191,-5.5101,0.9882,33.796,0.0006,34.0
607,37.0473,11.7737,0.953,36.7539,-5.4383,0.9894,35.1058,0.0006,35.0
608,36.9683,11.7348,0.9531,36.6749,-5.4423,0.9893,35.0338,0.0006,35.0
609,38.1937,12.3398,0.9516,37.8757,-5.3804,0.9902,36.1264,0.0006,36.0
610,36.2095,11.3601,0.9541,35.931,-5.4797,0.9887,34.3552,0.0006,34.0
611,37.355,11.9257,0.9526,37.055,-5.4229,0.9896,35.38,0.0006,35.0
612,37.6097,12.0514,0.9523,37.3055,-5.41,0.9898,35.608,0.0006,36.0
613,37.5524,12.0231,0.9524,37.2468,-5.413,0.9898,35.5546,0.0006,36.0
614,37.6134,12.0532,0.9523,37.3075,-5.4099,0.9898,35.6098,0.0006,36.0
615,37.1351,11.8171,0.9529,36.8349,-5.4341,0.9895,35.1796,0.0006,35.0
616,36.9917,11.7463,0.9531,36.6973,-5.4411,0.9894,35.0542,0.0006,35.0
617,37.1513,11.8251,0.9529,36.856,-5.4331,0.9895,35.1988,0.0006,35.0
618,37.1193,11.8093,0.9529,36.8231,-5.4347,0.9895,35.1688,0.0006,35.0
619,37.3139,11.9054,0.9527,37.0154,-5.4249,0.9896,35.344,0.0006,35.0
620,36.9565,11.7289,0.9531,36.6611,-5.443,0.9893,35.0212,0.0006,35.0
621,36.9996,11.7502,0.9531,36.7065,-5.4407,0.9894,35.0626,0.0006,35.0
622,37.1641,11.8314,0.9529,36.8685,-5.4324,0.9895,35.2102,0.0006,35.0
