Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
1,24.1045,-5.9875,0.9705,24.1098,-5.9881,0.9705,23.3916,0.0005,23.0
2,24.2941,-5.9806,0.971,24.2959,-5.9813,0.971,23.5668,0.0005,24.0
3,24.816,-5.9616,0.9723,24.819,-5.9622,0.9723,24.0588,0.0005,24.0
4,22.5518,-6.042,0.9659,22.5526,-6.0428,0.9659,21.9221,0.0005,22.0
5,23.6942,-6.0022,0.9694,23.6991,-6.0028,0.9694,23.0045,0.0005,23.0
6,24.3283,-5.9794,0.9711,24.3316,-5.98,0.9711,23.6004,0.0005,24.0
7,23.9589,-5.9927,0.9701,23.9588,-5.9935,0.9701,23.2494,0.0005,23.0
8,23.9368,-5.9935,0.9701,23.9378,-5.9943,0.97,23.2296,0.0005,23.0
9,23.0603,-6.0245,0.9675,23.0587,-6.0254,0.9675,22.4003,0.0005,22.0
10,22.986,-6.0271,0.9673,22.9869,-6.0279,0.9673,22.3325,0.0005,22.0
11,23.115,-6.0226,0.9677,23.1165,-6.0233,0.9677,22.4549,0.0005,22.0
12,23.27,-6.0171,0.9682,23.2716,-6.0179,0.9681,22.6013,0.0005,23.0
13,22.4474,-6.0456,0.9656,22.446,-6.0465,0.9656,21.8213,0.0005,22.0
14,22.6593,-6.0383,0.9663,22.6611,-6.0391,0.9663,22.0247,0.0005,22.0
15,22.7144,-6.0364,0.9665,22.7157,-6.0372,0.9664,22.0763,0.0005,22.0
16,22.3205,-6.0499,0.9652,22.3204,-6.0508,0.9652,21.7025,0.0005,22.0
17,22.0917,-6.0577,0.9644,22.0921,-6.0585,0.9644,21.4865,0.0005,21.0
18,21.88,-6.0648,0.9637,21.8805,-6.0656,0.9637,21.2861,0.0005,21.0
19,22.3154,-6.0501,0.9652,22.3178,-6.0509,0.9651,21.7001,0.0005,22.0
20,22.1599,-6.0554,0.9646,22.1606,-6.0562,0.9646,21.5513,0.0005,22.0
21,22.0672,-6.0585,0.9643,22.068,-6.0593,0.9643,21.4637,0.0005,21.0
22,21.616,-6.0736,0.9627,21.6157,-6.0744,0.9627,21.0353,0.0005,21.0
23,21.7283,-6.0698,0.9631,21.7297,-6.0706,0.9631,21.1433,0.0005,21.0
