Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(TR),P Global (TR),Q Global (TR),FP Global(TR),P Global (SST),Q Global(SST),FP Global (SST),P (SST),Q (SST)
41,25.8588,8.1843,0.9534,25.7535,-4.1593,0.9873,77.5814,24.5553,0.9534,152.6932,24.0559,0.9878,25.1451,0.0018,25.0
42,27.4356,9.0086,0.9501,27.3142,-4.0751,0.9891,82.3158,27.0303,0.9501,161.8316,26.4667,0.9869,26.6306,0.0018,27.0
43,25.1073,7.7925,0.9551,25.01,-4.1978,0.9863,75.3275,23.3802,0.9551,148.3351,22.91,0.9883,24.4358,0.0018,24.0
44,25.0195,7.7469,0.9553,24.9238,-4.2022,0.9862,75.0661,23.2441,0.9553,147.8292,22.7771,0.9883,24.3534,0.0018,24.0
45,25.3448,7.9164,0.9545,25.2481,-4.1855,0.9866,76.0493,23.7563,0.9545,149.7312,23.2768,0.9881,24.6631,0.0018,25.0
46,25.9062,8.2092,0.9533,25.805,-4.1566,0.9874,77.7375,24.6367,0.9533,152.9947,24.1353,0.9878,25.1941,0.0018,25.0
47,26.1375,8.3299,0.9528,26.0317,-4.1446,0.9877,78.4248,24.9955,0.9528,154.3227,24.485,0.9876,25.4101,0.0018,25.0
48,25.456,7.9741,0.9543,25.3519,-4.1802,0.9868,76.3639,23.9203,0.9543,150.3395,23.4367,0.9881,24.7621,0.0018,25.0
49,25.2096,7.8458,0.9548,25.1109,-4.1926,0.9865,75.6333,23.5396,0.9548,148.9266,23.0654,0.9882,24.5321,0.0018,25.0
50,26.4308,8.483,0.9522,26.3208,-4.1292,0.988,79.3018,25.4536,0.9522,156.0164,24.9314,0.9875,25.6855,0.0018,26.0
51,25.0211,7.7477,0.9553,24.9252,-4.2021,0.9862,75.0703,23.2463,0.9552,147.8375,22.7793,0.9883,24.3548,0.0018,24.0
52,24.9764,7.7244,0.9554,24.8813,-4.2043,0.9861,74.9375,23.1771,0.9553,147.5804,22.7118,0.9884,24.3129,0.0018,24.0
53,23.9173,7.1737,0.9578,23.8327,-4.2566,0.9845,71.7606,21.525,0.9578,141.4282,21.0988,0.9891,23.3107,0.0018,23.0
54,22.9766,6.6854,0.9602,22.896,-4.3016,0.9829,68.9243,20.0537,0.9602,135.9276,19.6608,0.9897,22.4138,0.0018,22.0
55,24.4766,7.4644,0.9565,24.3876,-4.2292,0.9854,73.4415,22.3986,0.9565,144.6845,21.9519,0.9887,23.8413,0.0018,24.0
56,24.2003,7.3206,0.9572,24.1117,-4.2429,0.985,72.6057,21.9641,0.9572,143.0658,21.5277,0.9889,23.5776,0.0018,24.0
57,22.6876,6.536,0.9609,22.6144,-4.3148,0.9824,68.0718,19.612,0.9609,134.2726,19.2288,0.9899,22.1437,0.0018,22.0
58,24.198,7.3196,0.9572,24.1117,-4.2429,0.985,72.6057,21.9641,0.9572,143.0658,21.5277,0.9889,23.5776,0.0018,24.0
59,23.7603,7.0921,0.9582,23.6752,-4.2643,0.9843,71.2834,21.2772,0.9582,140.5032,20.8567,0.9892,23.1599,0.0018,23.0
60,24.1564,7.2981,0.9573,24.0722,-4.2449,0.9849,72.486,21.9019,0.9573,142.8338,21.4669,0.9889,23.5398,0.0018,24.0
61,23.2165,6.8097,0.9596,23.1337,-4.2903,0.9834,69.6438,20.4266,0.9596,137.3237,20.0254,0.9895,22.6415,0.0018,23.0
62,24.5105,7.482,0.9564,24.421,-4.2275,0.9854,73.5428,22.4513,0.9564,144.8806,22.0034,0.9887,23.8732,0.0018,24.0
63,22.655,6.5192,0.961,22.582,-4.3163,0.9823,67.9737,19.5613,0.961,134.0823,19.1792,0.9899,22.1127,0.0018,22.0
64,23.8707,7.1496,0.958,23.7876,-4.2588,0.9845,71.6238,21.454,0.9579,141.1631,21.0294,0.9891,23.2675,0.0018,23.0
65,23.2149,6.809,0.9596,23.1337,-4.2903,0.9833,69.6438,20.4266,0.9596,137.3237,20.0254,0.9895,22.6415,0.0018,23.0
66,23.2804,6.8433,0.9594,23.2028,-4.287,0.9835,69.8529,20.535,0.9594,137.7293,20.1314,0.9895,22.7076,0.0018,23.0
67,23.2006,6.8019,0.9596,23.1229,-4.2909,0.9833,69.6111,20.4096,0.9596,137.2602,20.0088,0.9895,22.6311,0.0018,23.0
68,23.4605,6.9368,0.959,23.3823,-4.2785,0.9838,70.3964,20.8169,0.959,138.7835,20.4069,0.9894,22.8796,0.0018,23.0
69,23.2866,6.8464,0.9594,23.2075,-4.2868,0.9835,69.8671,20.5424,0.9594,137.7569,20.1386,0.9895,22.7121,0.0018,23.0
70,22.0916,6.2277,0.9625,22.0238,-4.342,0.9812,66.2847,18.6873,0.9625,130.8013,18.324,0.9903,21.5771,0.0018,22.0
71,22.1556,6.2608,0.9623,22.0881,-4.3391,0.9814,66.479,18.7878,0.9623,131.1789,18.4224,0.9903,21.6388,0.0018,22.0
72,23.1212,6.7611,0.9598,23.0501,-4.2943,0.9832,69.3907,20.2954,0.9598,136.8325,19.8971,0.9896,22.5614,0.0018,23.0
73,22.664,6.5236,0.961,22.589,-4.316,0.9823,67.9951,19.5723,0.961,134.1237,19.19,0.9899,22.1194,0.0018,22.0
74,24.273,7.3586,0.957,24.1861,-4.2392,0.9851,72.831,22.0812,0.957,143.5022,21.642,0.9888,23.6487,0.0018,24.0
75,22.2249,6.2966,0.9621,22.1556,-4.336,0.9815,66.6833,18.8934,0.9621,131.5759,18.5258,0.9902,21.7036,0.0018,22.0
76,22.7517,6.5695,0.9608,22.6815,-4.3117,0.9825,68.2749,19.7172,0.9607,134.667,19.3317,0.9899,22.2081,0.0018,22.0
77,22.8136,6.6013,0.9606,22.7402,-4.3089,0.9826,68.4525,19.8092,0.9606,135.0118,19.4217,0.9898,22.2644,0.0018,22.0
78,21.867,6.1112,0.9631,21.7965,-4.3523,0.9808,65.5969,18.3317,0.9631,129.4646,17.976,0.9905,21.3589,0.0018,21.0
79,21.5738,5.96,0.9639,21.5093,-4.3652,0.9801,64.7282,17.8829,0.9639,127.7755,17.5365,0.9907,21.083,0.0018,21.0
80,22.3837,6.3792,0.9617,22.3183,-4.3285,0.9818,67.1758,19.1482,0.9617,132.5326,18.7751,0.9901,21.8598,0.0018,22.0
81,22.7446,6.5658,0.9608,22.6735,-4.312,0.9825,68.2508,19.7047,0.9608,134.6201,19.3195,0.9899,22.2004,0.0018,22.0
82,22.114,6.239,0.9624,22.043,-4.3411,0.9813,66.3428,18.7173,0.9624,130.9143,18.3534,0.9903,21.5956,0.0018,22.0
83,22.4587,6.4178,0.9615,22.3901,-4.3252,0.982,67.393,19.2606,0.9615,132.9544,18.8851,0.9901,21.9286,0.0018,22.0
84,22.4823,6.4298,0.9615,22.4117,-4.3242,0.982,67.4583,19.2944,0.9614,133.0813,18.9181,0.99,21.9493,0.0018,22.0
85,22.4622,6.4194,0.9615,22.3915,-4.3252,0.982,67.3972,19.2628,0.9615,132.9627,18.8872,0.9901,21.93,0.0018,22.0
86,23.8711,7.1498,0.958,23.788,-4.2588,0.9845,71.6252,21.4547,0.9579,141.1659,21.0301,0.9891,23.2679,0.0018,23.0
87,21.6562,6.0027,0.9637,21.5918,-4.3615,0.9803,64.9775,18.0117,0.9637,128.2604,17.6627,0.9907,21.1622,0.0018,21.0
88,22.5494,6.4649,0.9613,22.483,-4.3209,0.9821,67.6741,19.4061,0.9613,133.5004,19.0274,0.99,22.0177,0.0018,22.0
89,21.5206,5.9322,0.964,21.4527,-4.3677,0.98,64.5568,17.7944,0.964,127.4421,17.4499,0.9908,21.0285,0.0018,21.0
90,20.7576,5.5387,0.9662,20.6974,-4.4008,0.9783,62.2727,16.616,0.9662,122.9973,16.2954,0.9913,20.3022,0.0017,20.0
91,21.8954,6.1264,0.963,21.8302,-4.3508,0.9808,65.699,18.3845,0.963,129.663,18.0276,0.9905,21.3913,0.0018,21.0
92,21.2227,5.7786,0.9649,21.1591,-4.3807,0.9794,63.6689,17.3361,0.9649,125.7151,17.001,0.991,20.7464,0.0017,21.0
