P1,P2,P3,P,,Q1,Q2,Q3,Q,,,,S1,S2,S3,S,,FP1,FP2,FP3,FPTotal,,
594.5775896,802.8979448,838.8683365,2236.34,,65.50390296,-96.3049328,165.0102179,134.21,,0.925189239,,598.1749504,808.6530466,854.9435408,2240.367384,,0.993986106,0.992883101,0.98119735,0.998204083,0.92,1
540.3957144,725.4869908,763.2872466,2029.17,,37.15846531,-113.351928,122.1970113,46.00,,0.937324648,,541.6717453,734.2887943,773.0068113,2029.691361,,0.997644273,0.988013158,0.987426288,0.999743109,0.92,1
577.0735192,777.8502013,814.3988755,2169.32,,56.25318632,-101.8680551,151.070343,105.46,,0.928990227,,579.8088198,784.4922156,828.2920843,2171.884293,,0.995282409,0.991533359,0.983226679,0.998820519,0.92,1
523.2522421,701.0671708,739.4703775,1963.79,,28.36581072,-118.6399271,108.8551319,18.58,,0.941426818,,524.0205417,711.0348868,747.4395487,1963.877694,,0.998533837,0.985981397,0.989338039,0.99995524,0.92,1
568.0553171,764.9602243,801.8116692,2134.83,,51.52210164,-104.7133789,143.9290833,90.74,,0.930991162,,570.3870354,772.0939299,814.6272361,2136.754681,,0.995912042,0.990760573,0.984268183,0.999097945,0.92,1
490.8724418,655.0372532,694.6097499,1840.52,,11.98450111,-128.4905376,83.91788851,-32.59,,0.949530209,,491.0187189,667.5205025,699.6605724,1840.807924,,0.999702095,0.981299077,0.992781039,0.999843286,0.92,1
463.1122735,615.6693991,656.275102,1735.06,,-1.827819619,-136.7941266,62.80740027,-75.81,,0.956822245,,463.1158805,630.6833136,659.2736754,1736.71237,,0.999992211,0.97619421,0.995451702,0.999046707,0.92,1
492.9686281,658.0135376,697.5091313,1848.49,,13.03614835,-127.858166,85.52196916,-29.30,,0.948996189,,493.1409631,670.3204653,702.7325205,1848.723497,,0.999650536,0.981640233,0.992567031,0.9998744,0.92,1
539.5342848,724.2590204,762.0892559,2025.88,,36.7146389,-113.6189462,121.524272,44.62,,0.937542127,,540.7820348,733.1169031,771.7176832,2026.373878,,0.997692693,0.987917503,0.987523381,0.999757539,0.92,1
533.0104268,714.9628193,753.0214654,2000.99,,33.36045651,-115.6361146,116.4375488,34.16,,0.939074095,,534.053401,724.2537843,761.9704916,2001.286304,,0.99804706,0.987171672,0.988255416,0.999854298,0.92,1
502.5228194,671.5851171,710.732419,1884.84,,17.84476566,-124.9667456,92.85122256,-14.27,,0.946561692,,502.8395566,683.1129167,716.7718752,1884.894379,,0.999370103,0.983124606,0.991574089,0.999971339,0.92,1
503.7553956,673.336692,712.4393017,1889.53,,18.46693761,-124.5926541,93.79891478,-12.33,,0.946256408,,504.0937674,684.7668437,718.5874999,1889.571597,,0.999328752,0.983307966,0.991444051,0.999978721,0.92,1
457.3098388,607.4515603,648.2767072,1713.04,,-4.688168883,-138.5135036,58.42576589,-84.78,,0.958383068,,457.3338689,623.0436492,650.9041859,1715.134545,,0.999947456,0.974974323,0.99596334,0.998777683,0.92,1
520.5735675,697.2545153,735.752936,1953.58,,26.99943261,-119.4616872,106.7790778,14.32,,0.942087157,,521.273257,707.4142731,743.4609299,1953.633479,,0.99865773,0.985638178,0.989632281,0.999973148,0.92,1
560.0482053,753.5237617,790.6467595,2104.22,,47.34135668,-107.2277318,137.6115292,77.73,,0.932794277,,562.0455465,761.1148704,802.5330094,2105.653734,,0.9964463,0.99002633,0.985189083,0.999318498,0.92,1
488.3598224,651.4704039,691.1353098,1830.97,,10.72562035,-129.2474585,81.99706844,-36.52,,0.950177494,,488.4775891,664.1675938,695.9824249,1831.329805,,0.999758911,0.980882551,0.993035578,0.999801091,0.92,1
541.2264498,726.6711758,764.4424632,2032.34,,37.58669074,-113.0943443,122.845971,47.34,,0.937144555,,542.5300262,735.4191515,774.2502258,2032.891328,,0.997597227,0.988104776,0.987332567,0.99972884,0.92,1
468.1112577,622.7523471,663.1699809,1754.03,,0.64385617,-135.3085251,66.59087146,-68.07,,0.955488084,,468.1117005,637.28242,666.5048895,1755.354056,,0.999999054,0.977199947,0.994996423,0.999247747,0.92,1
467.3244377,621.6373703,662.084509,1751.05,,0.254365328,-135.5424906,65.99486628,-69.29,,0.955697438,,467.3245069,636.2427107,665.3654781,1752.416834,,0.999999852,0.977044389,0.995068922,0.999217928,0.92,1
479.9723831,639.569113,679.5439488,1799.09,,6.535791392,-131.7664338,75.5995599,-49.63,,0.952358944,,480.01688,653.0015646,683.736259,1799.769897,,0.999907301,0.979429679,0.993868527,0.9996197,0.92,1
500.1808213,668.2573779,707.4897367,1875.93,,16.66362847,-125.6769368,91.05191483,-17.96,,0.94715892,,500.4583204,679.9725109,713.3247358,1876.013921,,0.99944551,0.982771167,0.991819996,0.999954166,0.92,1
509.6091438,681.6578207,720.5490203,1911.82,,21.42779778,-122.8121105,98.30637546,-3.08,,0.944791066,,510.0594376,692.6328024,727.2241979,1911.818462,,0.999117174,0.98415469,0.990821018,0.999998704,0.92,1
489.4542757,653.0240263,692.6486978,1835.13,,11.27378659,-128.917944,82.8335472,-34.81,,0.949893828,,489.5840952,665.6276852,697.5841276,1835.457132,,0.999734837,0.981065002,0.992924968,0.999820136,0.92,1
483.5959582,644.7098311,684.5504606,1812.86,,8.343445938,-130.6796817,78.36069462,-43.98,,0.951405598,,483.6679272,657.8206029,689.0208499,1813.389542,,0.999851201,0.980069381,0.993511968,0.999705914,0.92,1
525.1148845,703.7187212,742.0559136,1970.89,,29.31705847,-118.0678357,110.3000607,21.55,,0.940987396,,525.9326305,713.5545196,750.2086925,1971.007323,,0.998445151,0.986215772,0.989132652,0.999940232,0.92,1
481.5760471,641.844055,681.759392,1805.18,,7.335397568,-131.2857757,76.82093415,-47.13,,0.951934486,,481.6319105,655.1333802,686.0738477,1805.794615,,0.999884012,0.979715085,0.993711383,0.999659363,0.92,1
482.1774031,642.69719,682.5903207,1807.46,,7.635431425,-131.1053152,77.27926304,-46.19,,0.951782564,,482.2378541,655.9331381,686.9509666,1808.055029,,0.999874645,0.979821193,0.993652173,0.999673619,0.92,1
449.8542535,596.8978819,638.0067989,1684.76,,-8.350045039,-140.7142352,52.81140672,-96.25,,0.960409006,,449.9317422,613.259796,640.188816,1687.506232,,0.999827777,0.973319767,0.996591604,0.998371978,0.92,1
421.1087475,556.2640499,598.4851317,1575.86,,-22.32813103,-149.1128035,31.32746566,-140.11,,0.968366204,,421.7002759,575.9030486,599.3044827,1582.074586,,0.998597278,0.965898776,0.99863283,0.996070566,0.92,1
472.1067542,628.4153243,668.6832077,1769.21,,2.624271658,-134.1179924,69.62046573,-61.87,,0.954432322,,472.1140479,642.5678608,672.2977328,1770.286882,,0.999984551,0.977975032,0.994623624,0.999389028,0.92,1
465.1180923,618.5111613,659.0412674,1742.67,,-0.836900504,-136.1985437,64.32454246,-72.71,,0.956279947,,465.1188453,633.3293771,662.1729675,1744.18675,,0.999998381,0.976602671,0.995270571,0.999130696,0.92,1
417.9250229,551.7690479,594.115009,1563.81,,-23.8626086,-150.0344184,28.96362168,-144.93,,0.969257378,,418.60572,571.8036455,594.8205908,1570.510914,,0.998373894,0.964962452,0.99881379,0.995732705,0.92,1
469.1603412,624.2390567,664.6173014,1758.02,,1.16334218,-134.9961702,67.38579885,-66.45,,0.955213911,,469.1617835,638.6692148,668.0247025,1759.271987,,0.999996926,0.977405897,0.994899289,0.999286473,0.92,1
456.8776476,606.8396726,647.6812017,1711.40,,-4.900844635,-138.6411557,58.09992061,-85.44,,0.958502681,,456.9039321,622.4755081,650.2818926,1713.530055,,0.999942473,0.974881204,0.996000672,0.998756057,0.92,1
471.9369904,628.1748211,668.4490397,1768.56,,2.540040661,-134.1685847,69.49164431,-62.14,,0.954474073,,471.9438258,642.3432221,672.0514915,1769.652078,,0.999985516,0.977942632,0.994639619,0.999383366,0.92,1
441.1302831,584.5565048,625.9999874,1651.69,,-12.61576061,-143.2775975,46.26412866,-109.63,,0.962801046,,441.3106435,601.8594332,627.7072198,1655.321048,,0.999591307,0.971250881,0.997280209,0.997804491,0.92,1
484.0430832,645.3442448,685.1683462,1814.56,,8.566790939,-130.5454444,78.70162182,-43.28,,0.951300493,,484.1188865,658.4157557,689.6735517,1815.071678,,0.99984342,0.980147026,0.993467626,0.999715712,0.92,1
424.3385964,560.8251416,602.919905,1588.08,,-20.76855909,-148.1759919,33.72863407,-135.22,,0.967461014,,424.8465339,580.0697924,603.8625942,1593.829665,,0.998804421,0.96682356,0.998438901,0.996394833,0.92,1
464.624403,617.8116552,658.3603559,1740.80,,-1.080841545,-136.3451916,63.95090954,-73.48,,0.956422854,,464.6256601,632.6778426,661.4590517,1742.346334,,0.999997294,0.976502753,0.995315363,0.999110441,0.92,1
443.8481329,588.4004402,629.739394,1661.99,,-11.28905871,-142.4804686,48.30132597,-105.47,,0.96205413,,443.9916755,605.4054525,631.5890455,1665.331061,,0.9996767,0.971911366,0.997071432,0.997992535,0.92,1
446.7973165,592.5724337,633.798291,1673.17,,-9.847111536,-141.6138783,50.51444942,-100.95,,0.961249654,,446.9058152,609.2590415,635.808134,1676.210458,,0.999757223,0.972611637,0.996838916,0.998184944,0.92,1
444.8364287,589.7983442,631.0993386,1665.73,,-10.80605767,-142.1900855,49.04258409,-103.95,,0.961782419,,444.9676609,606.6960583,633.0020144,1668.974677,,0.999705075,0.972147974,0.996994203,0.998058349,0.92,1
454.0530844,602.8407787,643.7896798,1700.68,,-6.289596204,-139.4759596,55.97119593,-89.79,,0.95926958,,454.0966444,618.7653414,646.2181726,1703.052418,,0.999904073,0.974263971,0.996241992,0.998609041,0.92,1
448.9742364,595.6526411,636.7951846,1681.42,,-8.781242697,-140.9733385,52.14989628,-97.60,,0.960646636,,449.060102,612.1074669,638.9270058,1684.252601,,0.999808788,0.97311775,0.996663435,0.998319409,0.92,1
410.6906709,541.5591152,584.1903583,1536.44,,-27.33950655,-152.1226947,23.60426471,-155.86,,0.971289427,,411.5996548,562.5189681,584.66703,1544.3251,,0.997791583,0.962739296,0.999184712,0.994894239,0.92,1
413.4888792,545.5074643,588.0282187,1547.02,,-25.99635029,-151.3161312,25.67528231,-151.64,,0.970507029,,414.3052781,566.1050832,588.5884863,1554.438431,,0.998029475,0.963615202,0.999048117,0.995230516,0.92,1
445.8400686,591.2181568,632.4805927,1669.54,,-10.31544071,-141.89527,49.79574021,-102.41,,0.961511304,,445.9593872,608.0075464,634.4377951,1672.677103,,0.999732445,0.972386215,0.99691506,0.998123795,0.92,1
431.3531222,570.7349401,612.5564205,1614.64,,-17.37200354,-146.1353319,38.95450122,-124.55,,0.965508316,,431.7027942,589.1467619,613.7937939,1619.441328,,0.999190017,0.968748327,0.997984057,0.997037963,0.92,1
484.4747978,645.9568132,685.7649255,1816.20,,8.78244512,-130.4157661,79.0309416,-42.60,,0.951189324,,484.5543943,658.9904981,690.3038627,1816.696128,,0.999835733,0.980221741,0.993424726,0.999725,0.92,1
418.4350918,552.4890695,594.8150961,1565.74,,-23.61696102,-149.8869474,29.3421957,-144.16,,0.969113328,,419.1010461,572.4598405,595.5383808,1572.361924,,0.998410993,0.96511411,0.998785494,0.995788077,0.92,1
436.4197617,577.8961668,619.5213279,1633.84,,-14.91043684,-144.6564423,42.73870517,-116.83,,0.964104936,,436.6743976,595.725999,620.9937783,1638.008853,,0.999416875,0.970070415,0.997628881,0.997453251,0.92,1
439.0453827,581.6083343,623.1321279,1643.79,,-13.63212111,-143.8883771,44.70289986,-112.82,,0.963380498,,439.2569667,599.1428207,624.7335417,1647.652789,,0.999518314,0.970734046,0.997436645,0.997653059,0.92,1
408.6189601,538.6363041,581.349537,1528.60,,-28.33267861,-152.7192274,22.07239117,-158.98,,0.971872298,,409.600043,559.8680474,581.7684029,1536.84974,,0.997604778,0.962077237,0.999280013,0.994635169,0.92,1
399.8202377,526.2278558,569.2909114,1495.34,,-32.53787507,-155.244408,15.58113001,-172.20,,0.974347814,,401.1420394,548.6497813,569.5040943,1505.221571,,0.996704904,0.959132536,0.999625669,0.993434478,0.92,1
427.1817126,564.8411159,606.8249057,1598.85,,-19.39351634,-147.3499894,35.84489743,-130.90,,0.966672237,,427.6217067,583.7443838,607.8826555,1604.197158,,0.998971067,0.967617217,0.998259944,0.996665357,0.92,1
